,City name,Country,Cloudiness,Dates,Humidities,Lats,Lngs,Max_temps,Wind_speeds
0,victoria,HK,47,1632328632,82,22.2855,114.1577,87.33,11.86
1,saint-philippe,RE,45,1632328737,74,-21.3585,55.7679,69.35,11.52
2,busselton,AU,2,1632328738,92,-33.65,115.3333,56.08,10.27
3,qaanaaq,GL,12,1632328738,60,77.484,-69.3632,14.29,6.4
4,medak,IN,100,1632328738,93,18.0333,78.2667,77.9,5.14
5,luderitz,NA,3,1632328738,78,-26.6481,15.1594,59.94,4.79
6,ushuaia,AR,75,1632328739,51,-54.8,-68.3,56.86,5.75
7,guerrero negro,MX,7,1632328957,55,17.6667,-100.0,78.84,5.14
8,asau,RO,100,1632328739,86,46.4333,26.4,49.75,0.6
9,husavik,IS,99,1632328740,78,66.0449,-17.3389,42.71,6.2
10,barrow,US,90,1632328502,86,71.2906,-156.7887,30.22,21.85
11,kikwit,CD,95,1632328740,52,-5.041,18.8162,82.13,1.74
12,kapaa,US,20,1632328740,65,22.0752,-159.319,77.32,1.01
13,bethel,US,75,1632328601,82,41.3712,-73.414,78.67,1.01
14,rio casca,GR,13,1632328958,58,38.3,21.7833,75.78,14.18
15,airai,TL,79,1632328741,65,-8.9266,125.4092,56.64,3.49
16,port-gentil,GA,75,1632328742,78,-0.7193,8.7815,80.56,12.66
17,port alfred,CD,28,1632328958,47,-7.0349,29.7638,81.37,0.74
18,manama,BH,0,1632328733,51,26.2154,50.5832,91.58,10.36
19,new norfolk,LR,97,1632328804,86,6.6518,-10.5932,79.41,5.32
20,paamiut,GL,100,1632328743,61,61.994,-49.6678,36.82,9.31
21,hithadhoo,MV,100,1632328487,77,-0.6,73.0833,81.63,15.05
22,jamestown,US,90,1632328523,93,42.097,-79.2353,71.51,10.0
23,taltal,CL,3,1632328744,61,-25.4,-70.4833,64.62,9.17
24,dikson,RU,100,1632328744,98,73.5069,80.5464,35.24,10.09
25,upernavik,GL,18,1632328744,54,72.7868,-56.1549,22.73,4.61
26,half moon bay,LR,100,1632328959,76,6.3807,-10.6953,81.18,7.78
27,provideniya,RU,2,1632328745,63,64.3833,-173.3,30.78,4.68
28,hermanus,ZA,67,1632328745,64,-34.4187,19.2345,65.25,11.48
29,lavrentiya,RU,24,1632328746,74,65.5833,-171.0,30.0,7.7
30,mys shmidta,RU,22,1632328960,96,62.0589,48.6201,38.26,4.56
31,yellowknife,CA,90,1632328746,100,62.456,-114.3525,46.92,6.91
32,eyrarbakki,IS,99,1632328747,61,63.863,-21.1481,42.21,15.86
33,russell,US,75,1632328747,78,32.3502,-85.1999,79.88,10.36
34,albany,US,100,1632328550,81,42.6001,-73.9662,78.85,7.52
35,mataura,NZ,2,1632328747,96,-46.1927,168.8643,37.47,2.46
36,namibe,AO,19,1632328748,82,-15.1961,12.1522,64.94,7.11
37,vaini,TO,75,1632328748,94,-21.2,-175.2,71.76,6.91
38,adelaide,AU,90,1632328748,80,-34.9333,138.6,55.18,1.01
39,punta arenas,PH,78,1632328961,90,8.9897,125.34,75.96,2.77
40,tasiilaq,GL,0,1632328749,52,65.6145,-37.6368,35.76,5.7
41,khatanga,RU,100,1632328750,98,71.9667,102.5,34.14,11.7
42,tuktoyaktuk,CA,75,1632328750,69,69.4541,-133.0374,35.6,14.97
43,ostrovnoy,RU,95,1632328750,78,68.0531,39.5131,41.13,22.08
44,morehead,US,90,1632328751,92,37.2711,-87.1764,62.31,3.0
45,yumen,CN,0,1632328751,26,40.2833,97.2,63.75,15.73
46,port keats,CD,28,1632328958,47,-7.0349,29.7638,81.37,0.74
47,calvinia,ZA,44,1632328752,8,-31.4707,19.776,70.21,6.44
48,klaksvik,FO,97,1632328752,71,62.2266,-6.589,47.32,23.71
49,saskylakh,RU,100,1632328752,97,71.9167,114.0833,36.07,4.9
50,faanui,PF,72,1632328753,71,-16.4833,-151.75,77.09,3.47
51,madras,IN,20,1632328753,84,13.0878,80.2785,84.18,6.91
52,havre-saint-pierre,CA,1,1632328753,68,50.2334,-63.5986,64.76,12.66
53,iquitos,PE,75,1632328603,70,-3.7481,-73.2472,84.24,5.75
54,vage,NO,100,1632328754,93,60.0469,5.5178,57.92,8.21
55,georgetown,MY,20,1632328545,68,5.4112,100.3354,81.9,1.01
56,carutapera,BR,72,1632328754,55,-1.195,-46.02,88.81,10.22
57,ginda,IN,98,1632328755,78,30.6945,78.4932,62.76,2.66
58,honiara,SB,34,1632328755,87,-9.4333,159.95,76.68,2.93
59,esperance,AU,0,1632328756,78,-33.8667,121.9,49.84,4.0
60,aksu,CN,7,1632328756,26,41.1231,80.2644,72.09,8.97
61,rikitea,PF,0,1632328756,69,-23.1203,-134.9692,73.69,20.51
62,cabo san lucas,BR,16,1632328964,65,-8.2833,-35.0333,84.13,12.08
63,victoria point,HK,47,1632328939,83,22.2855,114.1577,87.33,11.86
64,portland,US,75,1632328839,76,45.5234,-122.6762,65.62,1.01
65,christchurch,NZ,90,1632328520,96,-43.5333,172.6333,51.91,3.0
66,lompoc,US,90,1632328757,90,34.6391,-120.4579,79.92,9.22
67,jalu,LY,0,1632328758,13,29.0331,21.5482,92.98,5.23
68,puerto ayora,ES,40,1632328965,57,36.5939,-6.233,80.74,6.91
69,dunedin,NZ,0,1632328758,94,-45.8742,170.5036,47.8,1.99
70,sao joao da barra,IN,97,1632328965,93,20.5113,76.2129,72.27,9.71
71,kruisfontein,ZA,0,1632328759,76,-34.0033,24.7314,62.89,11.41
72,yeppoon,AU,76,1632328759,79,-23.1333,150.7333,51.58,7.56
73,kupang,ID,54,1632328760,72,-10.1667,123.5833,77.76,13.38
74,longyearbyen,SJ,75,1632328760,65,78.2186,15.6401,42.64,24.16
75,brae,GB,99,1632328760,80,60.3964,-1.353,53.51,19.86
76,shenjiamen,CN,0,1632328761,87,29.9576,122.298,76.78,10.33
77,tupelo,US,40,1632328761,66,34.2576,-88.7034,71.42,13.8
78,hearst,CA,70,1632328762,51,49.6835,-83.6665,46.65,3.98
79,coahuayana,MX,29,1632328762,61,18.7333,-103.6833,87.28,1.34
80,atuona,PF,39,1632328555,78,-9.8,-139.0333,77.05,21.14
81,hamilton,US,90,1632328549,94,39.1834,-84.5333,59.58,1.01
82,souillac,MU,75,1632328763,88,-20.5167,57.5167,73.36,13.8
83,vila velha,PT,90,1632328952,64,42.0304,-8.1588,61.68,4.47
84,balibago,PH,99,1632328763,89,15.1624,120.5954,82.15,2.13
85,hilo,US,90,1632328764,90,19.7297,-155.09,71.8,4.61
86,cherskiy,RU,99,1632328764,60,68.75,161.3,28.33,4.68
87,atasu,KZ,21,1632328764,44,48.6814,71.6433,42.87,8.84
88,kavieng,PG,100,1632328764,81,-2.5744,150.7967,80.85,13.22
89,sorland,NO,73,1632328765,76,67.667,12.6934,51.87,38.65
90,puerto colombia,ES,40,1632328965,57,36.5939,-6.233,80.74,6.91
91,amahai,ID,99,1632328765,89,-3.3333,128.9167,76.77,4.56
92,grand river south east,US,0,1632328833,16,38.8755,-109.5012,69.82,3.98
93,morro bay,EC,100,1632328968,72,-2.6332,-80.3274,84.61,10.2
94,ashington,GB,62,1632328766,64,50.9331,-0.3909,69.91,8.46
95,yulara,AU,20,1632328766,37,-25.2406,130.9889,48.04,6.91
96,vestmannaeyjar,IS,90,1632328767,93,63.4427,-20.2734,38.39,16.11
97,karratha,AU,100,1632328767,31,-20.7377,116.8463,80.04,9.44
98,castro,BR,70,1632328545,43,-24.7911,-50.0119,67.44,9.89
99,cidreira,BR,11,1632328768,59,-30.1811,-50.2056,64.94,14.32
100,srednekolymsk,RU,64,1632328768,60,67.45,153.6833,29.91,6.11
101,san quintin,ML,54,1632328969,35,13.3034,-4.8956,95.59,8.03
102,kaz,RU,100,1632328768,80,52.9113,87.3105,36.36,3.83
103,plouzane,FR,0,1632328769,66,48.3833,-4.6167,71.69,10.36
104,port elizabeth,CD,28,1632328970,47,-7.0349,29.7638,81.37,0.74
105,tura,IN,63,1632328769,94,25.5198,90.2201,73.06,2.39
106,iralaya,HN,19,1632328770,67,15.0,-83.2333,87.89,7.61
107,sibolga,ID,85,1632328770,82,1.7427,98.7792,77.27,3.22
108,belmonte,BR,40,1632328770,79,-15.8631,-38.8828,75.7,22.1
109,maningrida,AU,14,1632328771,61,-12.0667,134.2667,66.47,10.2
110,east london,IS,99,1632328970,58,65.0,-15.0,40.75,20.47
111,pevek,RU,100,1632328771,66,69.7008,170.3133,26.82,9.42
112,vaitape,PF,71,1632328772,71,-16.5167,-151.75,77.09,3.44
113,labuhan,ID,55,1632328772,78,-6.8844,112.2051,80.13,10.63
114,mao,ES,20,1632328772,73,39.8885,4.2658,75.76,14.97
115,ormond beach,AU,21,1632328971,87,-37.904,145.0433,54.32,1.01
116,sitka,US,90,1632328773,71,57.0531,-135.33,48.09,6.91
117,chichawatni,PK,50,1632328773,71,30.5333,72.7,81.81,6.29
118,iqaluit,CA,90,1632328774,86,63.7506,-68.5145,33.53,4.61
119,salta,AR,40,1632328774,67,-24.7859,-65.4117,61.09,4.61
120,kamenka,RU,75,1632328774,88,51.3223,42.7678,49.14,8.01
121,pringsewu,ID,85,1632328775,93,-5.3582,104.9744,74.26,0.83
122,butaritari,KI,100,1632328775,70,3.0707,172.7902,82.89,16.64
123,addi ugri,CH,100,1632328972,72,46.4639,8.8901,55.8,5.55
124,narsaq,GL,98,1632328775,67,60.9167,-46.05,41.22,4.07
125,riyadh,SA,2,1632328678,16,24.6877,46.7219,93.34,8.57
126,micheweni,TZ,2,1632328776,84,-4.9667,39.8333,76.5,13.35
127,elko,US,4,1632328547,16,41.0002,-115.5012,66.2,4.52
128,skibbereen,IE,48,1632328776,84,51.55,-9.2667,64.2,13.13
129,avarua,CK,40,1632328620,83,-21.2078,-159.775,71.65,3.44
130,huarmey,PE,76,1632328777,74,-10.0681,-78.1522,68.32,12.15
131,buta,CD,37,1632328777,70,2.7858,24.73,77.47,3.87
132,bambous virieux,MU,48,1632328974,68,-20.2567,57.4061,72.14,13.76
133,arraial do cabo,BR,15,1632328974,31,-22.8362,-46.646,67.41,15.21
134,lata,PT,99,1632328778,46,40.1629,-8.3327,72.36,2.55
135,norman wells,US,1,1632328717,39,35.2226,-97.4395,74.01,5.75
136,nikolskoye,RU,89,1632328779,69,59.7035,30.7861,44.49,5.37
137,sao borja,IN,97,1632328974,93,20.5113,76.2129,72.27,9.71
138,kousseri,CM,20,1632328780,88,12.0769,15.0306,75.16,9.22
139,ponta do sol,PT,0,1632328975,76,38.7333,-28.2667,70.48,16.24
140,avera,US,5,1632328780,64,33.194,-82.5271,85.95,9.86
141,katherine,AU,77,1632328781,17,-14.4667,132.2667,64.72,9.22
142,iwanai,JP,67,1632328781,98,42.9744,140.5089,63.18,4.61
143,bathsheba,BB,20,1632328781,62,13.2167,-59.5167,90.21,13.8
144,valparaiso,CL,40,1632328782,56,-33.0393,-71.6273,64.04,5.75
145,mount isa,GB,33,1632328976,70,53.6597,-1.8537,65.32,5.01
146,pahrump,US,0,1632328537,10,36.2083,-115.9839,84.06,5.64
147,hobart,AU,40,1632328782,61,-42.8794,147.3294,56.26,5.99
148,takab,IR,0,1632328783,23,36.4009,47.1133,63.36,5.39
149,kula,TR,33,1632328783,44,38.5473,28.6498,64.69,10.63
150,linxia,CN,22,1632328783,72,35.6003,103.2064,54.5,2.15
151,sovetskoye,RU,98,1632328784,61,52.2861,85.4131,39.4,6.15
152,kuchinarai,TH,56,1632328784,93,16.541,104.05,75.04,5.21
153,puerto escondido,ES,40,1632328977,57,36.5939,-6.233,80.74,6.91
154,guinguineo,SN,40,1632328785,59,14.2667,-15.95,98.65,4.61
155,gat,IL,2,1632328518,100,31.61,34.7642,81.28,9.06
156,cape town,CL,79,1632328977,63,-36.413,-71.9028,58.42,2.19
157,chokurdakh,RU,99,1632328786,75,70.6333,147.9167,31.28,8.5
158,grand-lahou,CI,90,1632328786,87,5.1367,-5.0242,78.33,7.94
159,biak,ID,99,1632328786,89,-0.9131,122.8766,73.99,5.68
160,camacha,PT,40,1632328787,60,33.0833,-16.3333,72.36,14.97
161,bengkulu,ID,91,1632328787,92,-3.8004,102.2655,76.14,4.14
162,shitanjing,CN,69,1632328787,46,39.2342,106.3439,63.16,11.72
163,nishihara,JP,20,1632328788,84,26.1842,127.7558,83.48,0.0
164,lucea,JM,16,1632328788,70,18.451,-78.1736,87.66,6.98
165,neiafu,TO,75,1632328788,94,-18.65,-173.9833,74.08,6.91
166,pisco,PE,20,1632328788,72,-13.7,-76.2167,67.01,6.91
167,tuatapere,NZ,4,1632328789,86,-46.1333,167.6833,37.81,4.34
168,isangel,VU,64,1632328789,87,-19.55,169.2667,74.37,4.43
169,arlit,NE,68,1632328541,8,18.7369,7.3853,102.34,6.38
170,barzas,RU,100,1632328789,99,55.7167,86.3167,35.83,4.43
171,ndele,CF,99,1632328790,89,8.4109,20.6473,72.64,2.48
172,gunnedah,AU,0,1632328790,81,-30.9833,150.25,40.73,0.96
173,baracoa,CU,89,1632328791,68,20.3467,-74.4958,86.94,6.24
174,monmouth,US,20,1632328791,76,40.3001,-74.1663,82.92,12.66
175,kulhudhuffushi,MV,66,1632328791,78,6.6221,73.07,82.72,17.25
176,hay river,GB,48,1632328979,80,52.0705,-3.1274,66.27,9.91
177,mandalgovi,MN,56,1632328792,58,45.7625,106.2708,49.42,13.38
178,chernyshkovskiy,RU,84,1632328792,72,48.4219,42.2308,53.15,3.58
179,araouane,ML,10,1632328792,8,18.9048,-3.5265,106.12,4.14
180,leningradskiy,RU,44,1632328793,78,69.3833,178.4167,16.68,7.56
181,bulgan,MN,1,1632328793,88,48.8125,103.5347,39.16,2.68
182,matay,EG,0,1632328793,22,28.419,30.7792,91.44,19.1
